,videoId,title,description,publishedAt,commentCount,dislikeCount,favoriteCount,likeCount,viewCount
177,JirZBFFR3gM,『何曲歌っても一曲とみなされる奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-09T09:00:03Z,812,47,0,2431,161955
178,_3P9tk6xmlM,おまけ！３億回記念！本気ネタ！『教育実習生じゃなかった奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャルが毎日１本ネタを無料配信するYoutube公式チャンネル「JARU JARU TOWER」で配信している動画の合計再生回数が３億回を突破しました。...,2020-03-08T11:00:08Z,733,165,0,10655,584222
179,jkxjnWN0VRg,３億回記念！本気ネタ！『地元のツレが下品な奴』【JARUJARUTOWER】,ジャルジャルが毎日１本ネタを無料配信するYoutube公式チャンネル「JARU JARU TOWER」で配信している動画の合計再生回数が３億回を突破しました。...,2020-03-07T10:00:09Z,973,135,0,4604,320339
180,irMf9PfJtXE,３億回記念！本気ネタ！『ラグビー下手な奴』【JARUJARUTOWER】,ジャルジャルが毎日１本ネタを無料配信するYoutube公式チャンネル「JARU JARU TOWER」で配信している動画の合計再生回数が３億回を突破しました。...,2020-03-06T12:00:09Z,690,128,0,6508,579675
181,M_b8adY2lBs,『離れたら英語に聞こえる奴と南って奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-05T09:00:07Z,991,86,0,6078,277639
182,aN0-5nMob7M,３億回記念！本気ネタ！『初めてカラオケ行く奴』【JARUJARUTOWER】,ジャルジャルが毎日１本ネタを無料配信するYoutube公式チャンネル「JARU JARU TOWER」で配信している動画の合計再生回数が３億回を突破しました。...,2020-03-05T08:00:01Z,1360,344,0,10544,989153
183,2GSFiyFb2vs,３億回記念！本気ネタ！『スタッフ３人とも変な奴』【JARUJARUTOWER】,ジャルジャルが毎日１本ネタを無料配信するYoutube公式チャンネル「JARU JARU TOWER」で配信している動画の合計再生回数が３億回を突破しました。...,2020-03-04T08:00:00Z,611,99,0,3250,255920
184,QbatZlOb0f8,『ムササビ買いに来た奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,提供：プロスタッフ □速吸水 ムササビクロス（洗車後の拭き上げに最適な超便利クロス） 商品はこちら: https://prostaff-jp.com/products/p161/ 購入はこち...,2020-03-03T09:00:04Z,449,25,0,1635,67273
185,xVddr7lcAA4,『ＣＭソングに人生観を変えられた奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-03T09:00:19Z,541,58,0,2481,168402
186,dhn9vR3Q-3k,３億回記念！本気ネタ！『崖っぷちでオーディションする奴』【JARUJARUTOWER】,ジャルジャルが毎日１本ネタを無料配信するYoutube公式チャンネル「JARU JARU TOWER」で配信している動画の合計再生回数が３億回を突破しました。...,2020-03-03T08:00:49Z,715,141,0,4731,431746
187,WDVPOe7q9ww,３億回記念！本気ネタ！『顔が男のおばはん見っけた奴』【JARUJARUTOWER】,ジャルジャルが毎日１本ネタを無料配信するYoutube公式チャンネル「JARU JARU TOWER」で配信している動画の合計再生回数が３億回を突破しました。...,2020-03-02T08:00:09Z,573,34,0,3282,152661
188,T2E3V8sTpek,３億回記念！本気ネタ！『結婚祝いに落語をプレゼントする奴』【JARUJARUTOWER】,ジャルジャルが毎日１本ネタを無料配信するYoutube公式チャンネル「JARU JARU TOWER」で配信している動画の合計再生回数が３億回を突破しました。...,2020-03-01T08:00:11Z,368,37,0,1916,108586
189,0tqYpPNNR6U,『美容室に行くツッコミ下手な関東人な奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-02-29T09:00:00Z,988,116,0,4169,239232
190,XEIezveHhiA,３億回記念！本気ネタ！『当日、声枯れる奴』【JARUJARUTOWER】,ジャルジャルが毎日１本ネタを無料配信するYoutube公式チャンネル「JARU JARU TOWER」で配信している動画の合計再生回数が３億回を突破しました。...,2020-02-29T08:00:04Z,1271,210,0,8314,685240
191,XVnB5tJgl-k,『芯からおもんない奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-02-28T09:00:06Z,1974,209,0,8885,670647
192,Xy_tm0JEKNo,３億回記念！本気ネタ！『ミュージシャンか漫才師かわからん奴』【JARUJARUTOWER】,ジャルジャルが毎日１本ネタを無料配信するYoutube公式チャンネル「JARU JARU TOWER」で配信している動画の合計再生回数が３億回を突破しました。...,2020-02-28T08:00:11Z,970,99,0,3390,266229
193,ipTcDUrWi3M,『フェイスブックやってるだけの奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2020-02-25T09:00:15Z,1053,159,0,6176,501007
194,DlnwfQprG_4,『高価な悪徳商品すぐ買う奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2020-02-24T09:00:02Z,638,225,0,5177,531150
195,xWJHlByV_2U,コメント読む奴〜2020年1月編〜,このチャンネルはジャルジャルの公式チャンネルです！ コメントを読む奴は今後、毎月発表して行きます！ 更新は撮影の関係で固定の曜日ではあ...,2020-02-24T09:00:23Z,665,32,0,1778,80950
